,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
44,CMOMaharashtra,Office of the Chief Minister of Maharashtra @Dev_Fadnavis,,,1,,,,,,,,,,
45,earthskyscience,Updates on your cosmos and world.,,,,,1,,,,,,,,
46,UPGovt,"Official Twitter handle of the Government of Uttar Pradesh, Lucknow, India.

उत्तर प्रदेश सरकार का आधिकारिक अकाउंट",,,1,,,,,,,,,,
47,UNEnvironment,Official account of the United Nations Environment Programme. 🌏🌍🌎,,,,,,,,,,1,,,
48,dawn_com,"This is http://t.co/vAYXvvKr's live Twitter feed, your window to latest news, analysis and features from Pakistan, South Asia and the world.",,,,,1,,,,,,,,
49,KailashOnline,"National General Secretary of #BJP, Active Worker & a Proud Indian who continuously strives for development.",,,1,,,,,,,,,,
50,ChinaPlusNews,Your window on China and the world. Apps: https://t.co/07peuOhZjw,,,,,1,,,,,,,,
51,indiatvnews,India’s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:https://t.co/BUC2bw3ZhL,,,,,1,,,,,,,,
52,TheNationNews,"Nigeria's Widest Circulating Newspaper.For accurate News, Sport and Entertainment. Need to reach us? ination@thenationonlineng.net
IG:thenationnewspaper",,,,,1,,,,,,,,
53,ashokgehlot51,Chief Minister of Rajasthan,,,1,,,,,,,,,,
54,pid_gov,"The Official twitter account of Pakistan Government. Your very first stop for the very latest policy announcements, Information & News on Pakistan",,,1,,,,,,,,,,
55,Stanford,Stanford is one of the world's leading research and teaching institutions. Official Twitter feed by University Communications.,1,,,,,,,,,,,,
56,dallasnews,"The official Dallas Morning News Twitter account with daily news, updates and headlines from https://t.co/AsHKI8KMUM.",,,,,1,,,,,,,,
57,CNBCTV18Live,The CNBC-TV18 news ticker on twitter. The news breaks here first.,,,,,1,,,,,,,,
58,USDA,"Leadership on #food, #agriculture, natural resources, #rural development, #nutrition, & related issues based on public policy, science, & effective management.",,,1,,,,,,,,,,
59,USDA,"Leadership on #food, #agriculture, natural resources, #rural development, #nutrition, & related issues based on public policy, science, & effective management.",,,1,,,,,,,,,,
60,jilevin,"Marketing Programs Manager, social media, human rights, politics and news junkie, equality. #RESIST #FBR",,,,,1,,,,,,,,
61,naralokesh,"MLC | General Secretary, Telugu Desam Party | Stanford MBA",,,1,,,,,,,,,,
62,EPA,Our mission is to protect human health and the environment.,,,1,,,,,,,,,,
63,NWF,National Wildlife Federation works to unite all Americans to ensure wildlife thrive in a rapidly changing world.,,,,,,,1,,,,,,
64,RujutaDiwekar,"Farms not malls. Gratitude not guilt. Fit not thin. Open declaration: NO - Paid campaigns, Brand endorsements, Collaborations or Products to sell.",,,,,,,,,,,1,,
65,TajinderBagga,"#SwayamSewak #AOLite 
Spokesperson,BJP Delhi Founder @Tshirtbhaiya",,,1,,,,,,,,,,
66,vikatan,இதயம் இணைக்கும் இணையம்!,,,,,1,,,,,,,,
67,michaelpollan,Author of How to Change Your Mind; Cooked; Food Rules; In Defense of Food; The Omnivore’s Dilemma; The Botany of Desire and Second Nature.,,,,,1,,,,,,,,
68,FinancialXpress,"The #FinancialExpress - A complete up-to-date source for business news, #finance news, #stockmarket news, #economy & #financial news online. 
हिंदी में @fehindi",,,,,1,,,,,,,,
69,marthaliving,Endless inspiration from the editors of Martha Stewart Living.,,,,,1,,,,,,,,
70,DailySabah,"Give us your ear for the latest headlines, special reports and interesting stories from Turkey and the world.",,,,,1,,,,,,,,
71,keithlaw,"Baseball writer, blogger, food lover, heavy reader, boardgamer. Joy removal machine. My first book, Smart Baseball, is now available: https://t.co/GlAqGi6kk0",,,,,,,,,,,,1,
72,BJP4Delhi,Official account of BJP Delhi State. https://t.co/QFhgjaxeAi,,,1,,,,,,,,,,
73,RadioPakistan,"Follow us for News https://t.co/Bj9eoBjCLf
For mobile application https://t.co/t55tolltS3",,,,,1,,,,,,,,
74,SenFranken,Former U.S. Senator Al Franken of Minnesota.,,,1,,,,,,,,,,
75,ETNOWlive,"India's No.1 Business News Channel, Owned & Operated By The Times Network. Follow Us For The Latest Business Stories & News Updates.",,,,,1,,,,,,,,
76,guardianeco,News and comment on the world's most important environmental stories,,,,,1,,,,,,,,
77,PreventionMag,Your healthiest you,,,,,1,,,,,,,,
78,ClimateReality,"Founded by @algore, we’re bringing the world together to stop climate change and create a healthy and prosperous future powered by clean energy.",,,,,,,1,,,,,,
79,BJPLive,The Internet TV initiative by the BJP.,,,1,,1,,,,,,,,
80,BBCScotlandNews,Breaking news direct from @BBCScotland. For sport updates follow @BBCSportScot. On Instagram at bbcscotnews.,,,,,1,,,,,,,,
81,thewire_in,"We are India's foremost independent news-site, carrying critical opinion, investigations and reportage. Click here to support us: https://t.co/I4JFhafWDm",,,,,1,,,,,,,,
82,Acumen,"Changing the way the world tackles poverty by investing in companies, leaders and ideas. Follow our Founder & CEO @jnovogratz.",,,,,,,1,,,,,,
83,manojsinhabjp,,,,1,,,,,,,,,,
84,kathmandupost,"Nepal's leading national daily. Follow us for the latest news, analysis, and opinion. Founded in 1993.",,,,,1,,,,,,,,
85,BSYBJP,"Leader of Opposition, Karnataka Legislative Assembly | State President, BJP Karnataka.",,,1,,,,,,,,,,
86,CimGOI,"Official Account of the Office of Minister of Commerce and Industry, Government of India",,,1,,,,,,,,,,
87,DiscoveryEd,The global leader in standards-based digital curriculum for K-12.,1,,,,,1,,,,,,,
88,tv9gujarati,NO.1 GUJARATI NEWS CHANNEL. Follow us for breaking news and updates from Gujarat and India. For latest News Videos Subscribe https://t.co/qgmqtapacW,,,,,1,,,,,,,,
89,NewIndianXpress,"All the tweets for breaking news & views.
Facebook: https://t.co/2JWnDQzN07
YouTube: https://t.co/j6jQDbuEjK",,,,,1,,,,,,,,
90,IWF,"Working to develop and advance policies that aren’t just well intended, but actually enhance freedom, choices, and opportunities.",,,,,,,,,,1,,,
91,BTVI,"Your destination for Indian, global news and views on business, the economy, the stock markets and politics - on TV, Twitter and https://t.co/3x8bv6oh0I",,,,,1,,,,,,,,
92,AnandaVikatan,The largest circulated Tamil weekly magazine. Flagship magazine of the Vikatan group.,,,,,1,,,,,,,,
93,TreeHugger,"Links, Ideas and Conversation from the TreeHugger hive mind, the latest in modern green.",,,,,,,,,,,1,,
94,SeanAstin,"Watch #NoGoodNick on @Netflix NOW!!! Also, book a personalized video message at https://t.co/vzRiyeMzXo 👈👈👈👈👈",,,,,,,,,,,,1,
95,cebudailynews,Cebu's only independent digital news portal,,,,,1,,,,,,,,
96,jayantsinha,"BJP Member of Parliament - Hazaribagh. Former venture capitalist; passionate about India, technology, tennis & cricket.",,,1,,,,,,,,,,
97,PRupala,"Union Minister of the State - Agriculture & Farmers' Welfare - Govt. of India, Member of Parliament (Rajya Sabha)",,,1,,,,,,,,,,
98,Natures_Voice,"The official national twitter account for the RSPB, sharing ups & downs of nature and natural environment. Managed by Ross, Lauren and Briony, Mon-Fri 9-5.",,,,,,,1,,,,,,
99,NRDC,Natural Resources Defense Council | The Earth's Best Defense,,,,,,,1,,,,,,
100,RadhamohanBJP,"Member of Parliament, Lok Sabha, Purvi Champaran, Bihar. Former Union Minister of Agriculture & Farmers' Welfare, GoI.",,,1,,,,,,,,,,
